brand_name,vertical_name,target_market,category,audience,growth_objective,launch_model,tags,short_description,audience_snapshot,problem_to_solve,fi_growth_thesis,product_feature_hooks,go_to_market_models,brand_direction,implementation_complexity,time_to_launch,image_direction,source_asset_types,ataglance_url,deck_url,teaser_url,source_notes
Lucrum,Healthcare Practice Banking,"Physician practices, dental practices, and healthcare practice operators","Healthcare, SMB, Professional Services",SMB,"Stable deposits, payments, billing, cash-flow management, fee income",Standalone Brand; FI-Endorsed Vertical Solution,"SMB, Healthcare, Payments, Deposits, Fee Income","Banking that powers practice finances with modern checking, integrated billing, cash-flow tools, and specialized financing for healthcare practices.","Independent physician practices, dental practices, and healthcare operators managing reimbursements, payroll, patient payments, and recurring business expenses.","Healthcare practices face administrative overhead, uneven reimbursement cycles, billing friction, and working-capital gaps traditional business banking rarely solves directly.","Gives an FI access to stable healthcare business deposits, payment volume, and fee-income opportunities while positioning the institution as a specialist partner for practice growth.",Modern business checking; Cash-flow tracking; Expense categorization; Integrated payment and billing tools; Employee card controls; Specialized financing; Fast digital account opening,"Partner with physician and dental associations; Target independent practices; Offer as an endorsed practice banking solution; Bundle payments, deposits, and financing","Professional, efficient, and clinically polished. Calm blues, clean typography, and practice-growth messaging.",Medium,4-6 months,"Doctor, dentist, or practice owner reviewing finances in a modern clinic setting",AtAGlance; Deck,https://docs.google.com/presentation/d/1ZlWq4m4a-WNLFXwGc4bUy7oNY7_-N0_n/edit,https://docs.google.com/presentation/d/1RNVsQT4b92RFnxN9b1cbG9glHiDPRTct/edit,,2025 Lucrum AtAGlance and Deck
Athelite,College Athlete Banking,"College athletes, NIL earners, and college sports fans","Sports, Consumer Affinity, Younger Consumers",Consumer,"Younger customers, deposits, fee income, affinity engagement",Standalone Brand; College-Branded Offering,"Consumer, Sports, NIL, Younger Consumers, Affinity","A financial game plan for college athletes and fans, helping athletes manage NIL income, save for taxes, and connect fan banking with team support.","College athletes earning NIL income, student athletes building financial independence, and highly engaged college sports fans.","Student athletes have irregular income, tax obligations, brand deals, and limited financial education, while fans want more meaningful ways to support teams.","Creates a path to acquire young digital-native customers through sports affinity, NIL income management, fan engagement, deposits, and fee-income opportunities.",Modern checking; Debit card; NIL payment receipt; Tax auto-sweeps; Brand deal income tracking; Financial education; Fan team roundups; Fast account opening,Launch direct to athletes and fans; Partner with colleges; Offer a college-branded version; Use fan support mechanics to drive acquisition,"Energetic, athletic, and confident. Bold sports imagery, strong typography, and community-driven storytelling.",Medium,4-6 months,"College athlete on campus or in training, paired with fan or team imagery",AtAGlance; Deck,https://docs.google.com/presentation/d/1MLXlGnV3G-5N5U4F6cIUx8n3Qf-NXwGq/edit,https://docs.google.com/presentation/d/1Hr31jshuX347idpLJVxtookD--DutGrj/edit,,2025 Athelite AtAGlance and Deck
Convoy,Trucking Banking,"Truckers, owner-operators, and trucking businesses","Transportation, SMB, Logistics",SMB,"Business deposits, lending, invoice factoring, cash-flow management",Standalone Brand; FI-Endorsed Vertical Solution,"SMB, Trucking, Logistics, Lending, Deposits","Banking built for life on the road, with mobile business banking, driver cards, invoice factoring, tax savings, forecasting, and asset-based finance.","Owner-operators, small trucking fleets, and transportation businesses managing fuel, maintenance, payroll, invoices, and working capital.","Truckers face delayed payments, high operating expenses, fuel and maintenance volatility, tax complexity, and cash-flow pressure between loads.","Targets a cash-flow intensive SMB segment with deposit opportunity, factoring revenue, card spend, asset finance, and strong product relevance.",Mobile business checking for drivers; Reserve savings for fuel and taxes; Driver cards with spend controls; Load, fuel, and maintenance categorization; Invoice factoring and payment tracking, Activity-based spending forecasts,"Partner with trucking associations; Target owner-operator communities; Integrate with fuel, load board, or fleet partners; Lead with invoice factoring","Rugged, practical, and mobile-first. Highway imagery, straight copy, and reliability-focused design.",Medium-High,5-7 months,Owner-operator beside a truck or reviewing payments from a cab,AtAGlance; Deck,convoy-slide.html,https://docs.google.com/presentation/d/1w3yg3G7vHnVcI1cPgWzCCmA-CqGL89JZ/edit,,2025 Convoy AtAGlance and Deck
FRAME,Construction and Trades Banking,"Construction businesses, contractors, trades, and builders","Construction, Trades, SMB",SMB,"Sticky business deposits, next-gen SMB acquisition, fee income",FI-Endorsed Vertical Solution; Product Line Under Existing Brand,"SMB, Construction, Trades, Deposits, Fee Income","Banking for builders, with project-based financials, streamlined invoices, trade payments, crew card controls, and cash-flow visibility.","Construction employer businesses, self-employed contractors, tradespeople, and builders managing project cash flow, crews, suppliers, and job-based expenses.","Builders need banking that reflects project-based work, fast supplier payments, crew-level spending controls, and real-time visibility into margins and cash flow.",Creates a targeted SMB banking wedge into a large construction segment with sticky operating deposits and strong fee-income potential.,Project-based financials; Business insights; Trade payments; Supplier payments; Streamlined invoices; Expense assignment; Business metrics; Pro subscription tools; Crew card controls,Partner with contractor associations; Target regional builders and trades; Offer as contractor banking inside the FI business suite; Lead with project cash-flow tooling,"Confident, hard-working, and modern. Construction site imagery, strong layouts, and practical product visuals.",Medium,4-6 months,"Contractor, builder, or construction worker reviewing project financials on site",AtAGlance; Deck,https://docs.google.com/presentation/d/1ib2mHwgPUlZ36OKiS77AUmIrZ_Aik9J8/edit,https://docs.google.com/presentation/d/1Vm0ENMSyFi3t1yHyLe-yqhTGtuAcuRet/edit,,2025 FRAME AtAGlance and Deck
SYSTM,Professional Services Banking,Professional services SMBs and self-employed professionals,"Professional Services, SMB",SMB,"Business deposits, balance sheet diversification, fee income",Standalone Brand; FI-Endorsed Vertical Solution,"SMB, Professional Services, Invoicing, Deposits, Fee Income","A financial system for professional services growth, with invoicing, contractor payments, expense tracking, pro tools, employee controls, and capital access.","Self-employed professionals and professional services firms that invoice clients, pay contractors, manage expenses, and need simple business-growth tools.","Professional services businesses often stitch together separate tools for banking, invoicing, contractors, expenses, reporting, and working capital.","Positions an FI to acquire digitally active SMBs with operating deposits, payment activity, subscription potential, and capital needs.",Modern checking; Debit card; Client invoicing; Contractor payments; Vendor payments; Expense assignment; Business metrics; Pro subscription tools; Employee controls; Capital access,Target professional services verticals; Partner with accountant and freelancer ecosystems; Offer as endorsed SMB operating account; Use invoicing and contractor payments as hooks,"Modern, precise, and business-focused. Founder imagery, dashboards, and growth-system language.",Medium,4-6 months,"Consultant, agency owner, or professional services founder working from a modern office",AtAGlance; Deck,https://docs.google.com/presentation/d/1kcSypfh7hGQ9JNTlrvFQw-p5VF-uWxlo/edit,https://docs.google.com/presentation/d/1CDW2Pe3QOhEaln5uhYdwhGLFQnDlzKbf/edit,,2025 SYSTM AtAGlance and Deck
Scurry,Family and Youth Banking,"Families, kids, teens, and parents","Family Banking, Youth Banking, Financial Education",Consumer,"Younger customers, family deposits, financial education, long-term loyalty",Standalone Brand; Product Line Under Existing Brand,"Consumer, Family, Kids, Teens, Education","Smart family banking for kids and teens, with allowances, rewards, savings goals, roundups, investing education, and real-time parental controls.","Parents seeking safe, educational money tools for kids and teens, with family members able to support savings and financial learning.","Families need a secure way to teach money habits, automate allowances, build savings, and manage youth spending with guardrails.","Creates early-life customer acquisition, household deposit growth, multi-generational relationships, and a compelling family banking product line.",Smart debit for kids and teens; Allowances; Chore rewards; Learning rewards; Savings goals; Family savings matching; Roundups; Investing education; Parental controls,Offer as a family banking product line; Market to existing households; Partner with schools and youth organizations; Position as financial education,"Trustworthy, warm, and family-friendly without feeling childish. Parent-child imagery and approachable design.",Medium,4-6 months,Parent and child reviewing savings goals or teen using a debit card responsibly,AtAGlance; Deck,https://docs.google.com/presentation/d/1tgJNOxMVrHd-wxQkFcJrER9ndNPTRPlA/edit,https://docs.google.com/presentation/d/1p5T_AMlL-_3m1om8Wlf4PJXe1Fihd5fD/edit,,2025 Scurry AtAGlance and Deck
Prospr,Agriculture Banking,"Farmers, agriculture businesses, and ag operators","Agriculture, SMB",SMB,"Business deposits, equipment lending, payroll, payments, savings",Standalone Brand; FI-Endorsed Vertical Solution,"SMB, Agriculture, Equipment Finance, Deposits, Payments","Banking for the future of agriculture, with business banking, capital access, payroll, payments, savings sweeps, and ag-specific support.","Farm operators and agriculture businesses managing seasonal cash flow, equipment purchases, land costs, payroll, suppliers, and operating expenses.","Agriculture businesses need banking that understands seasonality, equipment and land financing, payroll, payments, and ag operating cycles.","Helps an FI pursue agriculture operating deposits, lending relationships, and specialist advisory positioning in a relationship-heavy market.",Personal banking; Business banking; Equipment financing; Land financing; Operating expense capital; Payments; Payroll processing; Automated savings sweeps; Ag business support; Pro invoicing subscription,"Target ag-heavy geographies; Partner with grower associations and ag vendors; Offer as FI-endorsed ag banking; Bundle financing, deposits, and payroll","Grounded, optimistic, and practical. Modern agriculture imagery and language around resilience, growth, and operating confidence.",Medium,4-6 months,"Farmer or ag business owner in field, barn, or equipment setting using mobile banking",AtAGlance; Deck,https://docs.google.com/presentation/d/14129imOgJxcSs7eh9EX38KXyfY-8XUJd/edit,https://docs.google.com/presentation/d/1G3hGeRnMnXek28kC2CKHrUsqqvL589hp/edit,,Prospr AtAGlance and Deck
Métier,Maker and Artisan Banking,"Makers, artisans, Etsy sellers, and online creator businesses","Creator Economy, SMB, Makers",SMB,"SMB deposits, lending, cash-flow tools, payments",Standalone Brand; FI-Endorsed Vertical Solution,"SMB, Makers, Creator Economy, E-commerce, Deposits","Banking for makers, with artisan checking, expense folders, cash-flow analytics, supplier payments, tax automation, and micro-loans.","Makers and artisans selling through marketplaces, direct channels, craft events, or online stores while managing inventory, sales, supplies, and taxes.","Makers often mix personal and business finances and lack simple tools for expenses, inventory, supplier payments, tax reserves, and growth financing.","Provides a niche SMB acquisition path into creative commerce, with operating deposits, payments, fee income, and micro-lending potential.",Artisan checking; Savings accounts; Virtual expense folders; Cash-flow analytics; Micro-loans; Lines of credit; Inventory expense tracking; Supplier payments; Tax categorization; Automated tax set-asides,Partner with maker marketplaces and communities; Target Etsy sellers and craft businesses; Offer as creator SMB banking; Use inventory and tax tools as the hook,"Creative, handcrafted, and entrepreneurial. Maker studio imagery, tactile visuals, and copy around scaling a creative business.",Medium,4-6 months,Artisan or maker in studio packaging products or managing online sales,AtAGlance; Deck; Teaser,https://docs.google.com/presentation/d/1U4BYG0Kg3uT1eH6yHOC0sHKhyPANI2pd/edit,https://docs.google.com/presentation/d/18-hL_tGp11DeRCcXjtWSSst4_lyNia2J/edit,https://docs.google.com/presentation/d/10QQCXTHu-iyuuSFDTHiDMWRY3qTuE-Jl/edit,"Métier AtAGlance, Deck, Teaser"
Luminary,Life Sciences Banking,Life sciences companies and clinical trial operators,"Life Sciences, Commercial, Healthcare",Commercial,"Treasury efficiency, cash-flow management, reporting, specialized operations",Product Line Under Existing Brand; FI-Endorsed Vertical Solution,"Commercial, Life Sciences, Healthcare, Treasury","A financial operating system for life sciences, designed to manage clinical trial finances, reduce costs, improve cash flow, and streamline reporting.","Life sciences companies, clinical trial sponsors, and operators coordinating complex financial flows across research programs and trial sites.","Clinical trial finances are operationally complex, with cost controls, cash-flow timing, reporting, and multi-party payment management creating friction.",Offers a specialized commercial banking wedge into a complex healthcare-adjacent vertical with high-value treasury and payments potential.,Clinical trial financial management; Cost reduction workflows; Cash-flow improvement; Financial reporting support; Multi-party payment coordination; Treasury visibility,Target life sciences clusters; Partner with clinical trial administrators; Offer as commercial treasury specialization; Position around trial finance efficiency,"Scientific, precise, and high-trust. Lab, research, and life-sciences imagery with enterprise-grade design.",High,6-9 months,"Life sciences team, lab environment, or clinical research finance context",AtAGlance; Deck,https://docs.google.com/presentation/d/1s6pvj1b5HiVIGMtYiePL5jPsRScmRsK9/edit,https://docs.google.com/presentation/d/139tJ8XTe2W7dp8mF0iHEsgsW4hNoaX_m/edit,,Luminary AtAGlance and Deck
Remesa,Remittance and Newcomer Family Banking,"Immigrants, cross-border families, and remittance users","Multicultural, Remittance, Consumer",Consumer,"Deposits, direct deposit, remittance relationships, financial inclusion",Standalone Brand; FI-Endorsed Solution,"Consumer, Multicultural, Remittance, Inclusion","Better banking for building a better life, with debit, low-cost international transfers, early wage access, spending management, and savings roundups.","Consumers supporting family across borders, managing wages, everyday spending, transfers, and savings while building financial stability.","Cross-border families need low-cost money movement, trusted everyday banking, early wage access, spending visibility, and support that understands family obligations.","Creates deposit, interchange, remittance, and loyalty opportunities through a culturally relevant, high-need consumer segment.",Modern debit card; Free ATM access; Low-cost international money transfer; Spending tracking; Early wage access; Debit card roundups; Family-oriented support,Partner with community organizations; Target payroll and direct deposit users; Offer remittance-led onboarding; Build trust through family and goals,"Warm, human, and family-centered. Multicultural family imagery and language around building a better life.",Medium,4-6 months,"Multigenerational family, worker sending money home, or mobile transfer moment",AtAGlance; Deck,https://docs.google.com/presentation/d/1wL7BgIhKkRloGw0qu8CE8ndtYBlhSze9/edit,https://docs.google.com/presentation/d/1UGoGTtZnylxVe4I9eK8TT4pnVNoq-D3A/edit,,Remesa AtAGlance and Deck
